grid_points, number_of_observations, analysis_value
[22, 19],25.0,5904.284611322677
[22, 20],24.0,5925.793257842124
[22, 21],21.0,5942.175355412866
[23, 0],17.0,5418.127491179381
[23, 1],21.0,5468.01524561527
[23, 2],22.0,5509.123477076196
[23, 3],24.0,5549.749905573604
[23, 4],26.0,5590.207277013127
[23, 5],25.0,5625.251210404049
[23, 6],28.0,5656.773213822457
[23, 7],30.0,5685.051704349617
[23, 8],32.0,5710.90060139199
[23, 9],31.0,5735.459394442038
[23, 10],35.0,5756.51354714897
[23, 11],37.0,5774.266792641716
[23, 12],40.0,5793.89435762127
[23, 13],39.0,5810.152684215694
[23, 14],35.0,5826.688463600496
[23, 15],34.0,5847.339680088771
[23, 16],32.0,5862.2036041046185
[23, 17],29.0,5877.815516610248
[23, 18],28.0,5895.257794364365
[23, 19],24.0,5915.638259090484
[23, 20],24.0,5934.926204232703
[23, 21],18.0,5909.428023309374
[24, 0],16.0,5431.525934354828
[24, 1],19.0,5480.171408059079
[24, 2],21.0,5522.689511471048
[24, 3],22.0,5563.99589230162
[24, 4],25.0,5600.3888491595535
[24, 5],25.0,5634.156676795208
[24, 6],27.0,5665.1356587629425
[24, 7],30.0,5692.855818013546
[24, 8],30.0,5716.840150394095
[24, 9],32.0,5740.573518048197
[24, 10],32.0,5760.311822550502
[24, 11],36.0,5780.6524060235315
[24, 12],36.0,5798.167257109413
[24, 13],36.0,5814.388620129794
[24, 14],34.0,5832.747420836862
[24, 15],31.0,5847.261429838572
[24, 16],29.0,5861.595547526135
[24, 17],24.0,5873.3778482588805
[24, 18],23.0,5884.387924096107
[24, 19],21.0,5895.518692867467
[24, 20],19.0,5906.616214554313
[24, 21],18.0,5913.158298424227
[25, 0],14.0,5444.590862101089
[25, 1],15.0,5493.250971449197
[25, 2],20.0,5535.815198917149
[25, 3],24.0,5571.171309226505
[25, 4],25.0,5606.027512530349
[25, 5],24.0,5639.102832147377
[25, 6],24.0,5671.162379829753
[25, 7],25.0,5698.565154970414
[25, 8],28.0,5719.3826783152435
[25, 9],28.0,5743.461570107578
[25, 10],32.0,5763.0644349811355
[25, 11],33.0,5781.36632044151
[25, 12],31.0,5799.58518654068
[25, 13],30.0,5817.787680930309
[25, 14],27.0,5835.259848072077
[25, 15],27.0,5849.64367769389
[25, 16],26.0,5863.010102190972
